PART NAME,QTY.,PROCESS,MATERIAL,VENDOR,SUPPLIER P/N,LINK,NOTES
windvane_housing,1,PRINT,"PRUSA, 0.15MM PLA",,,,
wind_vane,1,PRINT,"PRUSA, 0.15MM PLA",,,,
magnet_bracket,1,PRINT,"PRUSA, 0.15MM PLA",,,,
pin_3mm_diam_12mm_length,25,PURCHASED,---,RS COMPONENTS,270-552,https://uk.rs-online.com/web/p/dowel-pins/270552,
round_bar_magnet,1,PURCHASED,---,RS COMPONENTS,536-1726,https://uk.rs-online.com/web/p/magnets/5361726,
wind_vane_base,1,PRINT,"PRUSA, 0.15MM PLA",,,,
hall_effect_sensor_honeywell_SS495A,2,PURCHASED,---,RS COMPONENTS,216-6231,https://uk.rs-online.com/web/p/hall-effect-sensors/2166231,
washer_M3,13,PURCHASED,---,(STANDARD COMPONENT),,,
link1,6,CUT,"MDF, 3MM THK",,,,
link2,6,CUT,"MDF, 3MM THK",,,,
link3_slotted,6,CUT,"MDF, 3MM THK",,,,
link4_servo_arm,6,CUT,"MDF, 3MM THK",,,,
_mco_roller_link,6,PRINT,"PRUSA, 0.15MM PLA",,,,
sg90 micro servo,6,PURCHASED,---,Feetech,FS90MG,,
sg90_servo_wheel,6,PURCHASED,---,,,,(included with Feetech FS90MG)
servo_clamp,6,PRINT,"PRUSA, 0.15MM PLA",,,,
servo_plate,6,PRINT,"PRUSA, 0.15MM PLA",,,,
91200A118_18-8 Stainless Steel Pan Head Slotted Screw,72,PURCHASED,---,(STANDARD COMPONENT),,https://www.mcmaster.com/91200A118/,
91828A211_18-8 Stainless Steel Hex Nut,48,PURCHASED,---,(STANDARD COMPONENT),,https://www.mcmaster.com/91828A211/,
_new_base_top,1,CUT,"MDF, 3MM THK",,,,
_new_base_bottom,1,CUT,"MDF, 3MM THK",,,,
base_plate_rib,6,CUT,"MDF, 3MM THK",,,,
base_plate_rib_outer,6,CUT,"MDF, 3MM THK",,,,
